,Name,Type,Location,Price,Price Category
610,Canberra Zone 4 RN: Collaboration with VFC Fun Factory Outreach on Saturday 15 March 2025,Social & Community Events,Canberra Zone 4 RN,0.0,Free
611,"Canberra Zone 4 RN: Karaoke session on Every Saturday, 1pm to 5pm (January to March 2025)",Social & Community Events,Canberra Zone 4 RN,3.0,$
612,Taekwondo (International Taekwon-Do Federation Singapore) (HealthierSG),Fitness & Wellness,Canberra Zone 4 RN,70.0,$$
613,"[Canberra Zone 6 RN] Buka Puasa Bersama on Sun, 16 March 2025",Social & Community Events,Canberra Zone 6 RN,0.0,Free
614,[Canberra Zone 6 RN] Visit to Yakult Factory for March Holidays,Social & Community Events,Canberra Zone 6 RN,3.0,$
615,Canberra Zone 7 RN: Buka Puasa with Residents on Saturday 15 March 2025,Social & Community Events,Canberra Zone 7 RN,0.0,Free
616,Canberra Zone 7 RN: Outing to Mandai Boardwalk on Sunday 16 March 2025,Social & Community Events,Canberra Zone 7 RN,3.0,$
617,Canberra Zone 8 RN & AAC - Spring Into Nature @ Mandai Boardwalk,Social & Community Events,Canberra Zone 8 RN,3.0,$
618,Fitness First - Captial Tower,Fitness & Wellness,"Capital Tower, Postal Code: 68912",150.0,$$$
619,Cashew Zone 3 RC 2025 Walk towards good health (East Coast Park),Social & Community Events,Cashew Zone 3 RC,3.0,$
620,Cashew Zone 3 RC Karaoke Singing (Open to All) [Jun 24 to Jun 25],Social & Community Events,Cashew Zone 3 RC,10.0,$
621,Advanced to Python Coding,Social & Community Events,Changi Simei CC,0.0,Free
622,Ballroom Modern (Adult) - Advanced (HealthierSG),Workshops & Classes,Changi Simei CC,~105.0,$$$
623,Ballroom Modern (Adult) - Elementary (HealthierSG) (Changi Simei),Workshops & Classes,Changi Simei CC,~105.0,$$$
624,Bollywood Dance For Adults (HealthierSG) (Changi Simei),Workshops & Classes,Changi Simei CC,~80.0,$$
625,Bollywood Dance For Children (Changi Simei),Workshops & Classes,Changi Simei CC,~80.0,$$
626,Changi Simei Volunteer Emcee Training (12 & 13 April 2025),Social & Community Events,Changi Simei CC,0.0,Free
627,Family Dance & Fitness Fiesta,Social & Community Events,Changi Simei CC,2.0,$
628,FitQuest IG (Sundays),Social & Community Events,Changi Simei CC,0.0,Free
629,Going Local: Chocolate Factory Tour & Chocolate Bar Making,Social & Community Events,Changi Simei CC,10.0,$
630,Grow Greens Workshop: Home Style Hydroponic,Workshops & Classes,Changi Simei CC,0.0,Free
631,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Changi Simei CC,~60.0,$$
632,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Changi Simei CC,~65.0,$$
633,Health Qigong (HealthierSG),Fitness & Wellness,Changi Simei CC,~45.0,$
634,Home Cooking / Variety Cooking,Food & Beverage,Changi Simei CC,~125.0,$$$
635,Hoop Fitness - Beginners (HealthierSG),Fitness & Wellness,Changi Simei CC,~100.0,$$
636,Hoop Fitness - Intermediate (HealthierSG),Fitness & Wellness,Changi Simei CC,~105.0,$$$
637,Inline Skating Complete Modular Course by Jeremy Wong (HealthierSG),Fitness & Wellness,Changi Simei CC,~85.0,$$
638,Introduction to Palette Knife Painting,Workshops & Classes,Changi Simei CC,~162.5,$$$
639,KIDDIES EXPRESSION - RELATIONAL THINKING THROUGH ART-JUNIOR,Workshops & Classes,Changi Simei CC,~101.0,$$$
640,KIDDIES EXPRESSION-RELATIONAL THINKING THROUGH ART-ADVANCE,Workshops & Classes,Changi Simei CC,~133.0,$$$
641,KpopX® Fitness (HealthierSG),Fitness & Wellness,Changi Simei CC,~101.0,$$$
642,Nirvana® Fitness (HealthierSG),Fitness & Wellness,Changi Simei CC,~130.0,$$$
643,Recreational Karaoke Dialect Singing (Cantonese),Workshops & Classes,Changi Simei CC,~65.0,$$
644,Relational Thinking Through Art (Junior),Workshops & Classes,Changi Simei CC,~101.0,$$$
645,SkillsFuture@PA Cakemaking (Elementary),Food & Beverage,Changi Simei CC,~125.0,$$$
646,SkillsFuture@PA Dianxin (Elementary),Food & Beverage,Changi Simei CC,~105.0,$$$
647,SkillsFuture@PA Wonder of the Voice (Beginners),Workshops & Classes,Changi Simei CC,~304.0,$$$
648,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Changi Simei CC,~57.5,$$
649,Visit & Lunch @ Dignity Kitchen,Social & Community Events,Changi Simei CC,5.0,$
650,Wheel Yoga (HealthierSG),Fitness & Wellness,Changi Simei CC,~95.0,$$
651,Wushu (HealthierSG),Fitness & Wellness,Changi Simei CC,~90.0,$$
652,Yin Yoga (HealthierSG),Fitness & Wellness,Changi Simei CC,~75.0,$$
653,Zumba® Fitness (HealthierSG),Fitness & Wellness,Changi Simei CC,~95.0,$$
654,Changi Simei Zone 1 RC: Retro Games & BBQ Feast: A Night of Nostalgia,Social & Community Events,Changi Simei Zone 1 RC,10.0,$
655,Changi Simei Zone 1 Windsor Nature Park - Upper Pierce Reservoir Park (19 Apr 25),Social & Community Events,Changi Simei Zone 1 RC,5.0,$
656,Taekwondo (Singapore Taekwon-Do Gymnasium) (HealthierSG),Fitness & Wellness,Changi Simei Zone 2 RC,60.0,$$
657,Chek Jawa,Cultural & Heritage,"Chek Jawa, Pulau Ubin",0.0,Free
658,(Cheng San Acacia RN) Grocery and Meals Distribution Apr 2025,Social & Community Events,Cheng San Acacia RN,0.0,Free
659,(Cheng San Acacia RN) Grocery and Meals Distribution May 2025,Social & Community Events,Cheng San Acacia RN,0.0,Free
660,(Cheng San Acacia RN) Resistance Band Exercise Apr 2025,Social & Community Events,Cheng San Acacia RN,0.0,Free
661,(Cheng San Acacia RN) Resistance Band Exercise Mar 2025,Social & Community Events,Cheng San Acacia RN,0.0,Free
662,Children's Art (Cheng San Acacia),Workshops & Classes,Cheng San Acacia RN,~105.0,$$$
663,Chinese Calligraphy,Workshops & Classes,Cheng San Bottle Tree RN,~70.0,$$
664,Healthier U Walk @Mandai Boardwalk with Bottle Tree,Social & Community Events,Cheng San Bottle Tree RN,3.0,$
665,Yoga Stretch (HealthierSG),Fitness & Wellness,Cheng San Bottle Tree RN,~95.0,$$
666,"Ang Mo Kio GRC, Kebun Baru & Yio Chu Kang SMCs Table Tennis Tournament 2025 (Cheng San-Seletar)",Social & Community Events,Cheng San CC,40.0,$
667,Cheng San-Seletar YN Escape Room Explorers,Social & Community Events,Cheng San CC,2.0,$
668,Community Fun Bowling with Cheng San - Seletar CSN and Cheng San Acacia RN,Social & Community Events,Cheng San CC,5.0,$
669,Mini Mossarium Workshop [Cheng San Cherry RN],Workshops & Classes,Cheng San Cherry RN,25.0,$
670,Cheng Diamond RN [Interest Group] - Chess Club | 国际象棋俱乐部 2025,Social & Community Events,Cheng San Diamond RN,0.0,Free
671,Cheng San Diamond RN - Community Garden Interest Group 2025,Social & Community Events,Cheng San Diamond RN,80.0,$$
672,"Cheng San Diamond RN [Interest Group] - Power Walk, Radiant You | 好友相伴，健步同行",Social & Community Events,Cheng San Diamond RN,0.0,Free
673,Children's Art (Cheng San Diamond),Workshops & Classes,Cheng San Diamond RN,~125.0,$$$
674,Crochet & Knitting (Stage I),Workshops & Classes,Cheng San Diamond RN,~55.0,$$
675,Recreational Karaoke Dialect Singing (Hokkien),Workshops & Classes,Cheng San Oak RN,~95.0,$$
676,(Palm RN) Clay Art Workshop,Workshops & Classes,Cheng San Palm RN,10.0,$
677,"(Cheng San Raintree RN) Grocery, Meals & Ramadhan Porridge Distribution 15 March 2025",Social & Community Events,Cheng San Raintree RN,0.0,Free
678,CSHLRN HPB Pilates 2025.03.14,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
679,CSHLRN HPB Pilates 2025.04.04,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
680,CSHLRN HPB Pilates 2025.04.11,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
681,CSHLRN Zumba @CS 2025.03.16,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
682,CSHLRN Zumba @CS 2025.03.23,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
683,CSHLRN Zumba @CS 2025.03.30,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
684,CSHLRN Zumba @CS 2025.04.06,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
685,CSHLRN Zumba @CS 2025.04.13,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
686,CSHLRN Zumba @CS 2025.04.20,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
687,CSHLRN Zumba @CS 2025.04.27,Social & Community Events,Chin Swee-Hong Lim RN,0.0,Free
688,Recreational Karaoke Folk Singing (Mandarin),Workshops & Classes,Chin Swee-Hong Lim RN,200.0,$$$
689,"1/2 Day CPR & AED Certification Course (Sun, 13 April 2025) @ Chong Pang Zone 4 RN - Networking with Chong Pang C2E",Workshops & Classes,Chong Pang CC,0.0,Free
690,"2025 Get Lean, Get Strong @ Chong Pang (With Instructor David Devito)",Social & Community Events,Chong Pang CC,0.0,Free
691,"Chong Pang CC SCEC: Movie Night at Chong Pang ""Blooms of Happiness""",Social & Community Events,Chong Pang CC,0.0,Free
692,Chong Pang Dance Fit Club (Jan to Dec 2025),Social & Community Events,Chong Pang CC,24.0,$
693,Chong Pang Pets Day 2025,Social & Community Events,Chong Pang CC,0.0,Free
694,Community Learning Journey To Singapore Discovery Centre [Chong Pang CC],Social & Community Events,Chong Pang CC,10.0,$
695,Nee Soon GRC SG60 Outing to Mandai Bird Paradise & Rainforest Wild Asia [Chong Pang CC],Social & Community Events,Chong Pang CC,~15.0,$
696,Responders Plus Programme by Singapore Civil Defence Force,Social & Community Events,Chong Pang CC,0.0,Free
697,Silat (HealthierSG),Fitness & Wellness,Chong Pang CC,~6.5,$
698,Soap Making Workshop,Workshops & Classes,Chong Pang CC,10.0,$
699,Weekly K-Kardio Dance® [Every Sunday @ 10.15am to 11.15am] (HealthierSG),Social & Community Events,Chong Pang CC,~2.5,$
700,Weekly Pickleball Sports Interest Group [Session 1 : Every Friday @ 6.30pm to 9.30pm],Social & Community Events,Chong Pang CC,0.0,Free
701,Weekly Taiji Push Hand [Every Tuesday @ 7pm to 9pm] (HealthierSG),Social & Community Events,Chong Pang CC,~2.5,$
702,Adventure Awaits @ Rainforest Wild Asia,Social & Community Events,Chong Pang Zone 2 RN,~12.5,$
703,Chong Pang Zone 3 RN Holiday Series: A Day of Fun!,Social & Community Events,Chong Pang Zone 3 RN,2.0,$
704,North West Brisk Walking Club @ Chong Pang Zone '4' RC (HealthierSG),Social & Community Events,Chong Pang Zone 4 RC,0.0,Free
705,(CCK CSN) Dance and Wellness - 1 Jan to 31 Dec 2025,Social & Community Events,Chua Chu Kang CC,24.0,$
706,(CCK CSN) Fun Walk - 19 Apr 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
707,(CCK CSN) Fun Walk - 5 Apr 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
708,(CCK) Baking Together,Social & Community Events,Chua Chu Kang CC,0.0,Free
709,(CCK) Crochet Workshop for Beginners,Workshops & Classes,Chua Chu Kang CC,0.0,Free
710,(CCK) Recycled Mini Gardens: Family-friendly Terrarium Workshop,Workshops & Classes,Chua Chu Kang CC,0.0,Free
711,Belly Dance - Advanced (HealthierSG) (Chua Chu Kang),Workshops & Classes,Chua Chu Kang CC,~165.0,$$$
712,CCK Enchanted Garden - 16 Mar 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
713,CCK Enchanted Garden - 22 Mar 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
714,CCK Enchanted Garden - 23 Mar 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
715,CCK Enchanted Garden - 30 Mar 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
716,"CCK English Toastmasters member renewal, Oct 2024- Mar 2025",Social & Community Events,Chua Chu Kang CC,105.0,$$$
717,CCK Mandarin Toastmasters Membership/ Speechcraft (Sep 2024 - Aug 2025),Social & Community Events,Chua Chu Kang CC,220.0,$$$
718,CCK PAssionArts Hotspot - 22 Mar 2025,Social & Community Events,Chua Chu Kang CC,0.0,Free
719,Chinese Calligraphy,Workshops & Classes,Chua Chu Kang CC,~115.0,$$$
720,Chua Chu Kang GRC & Hong Kah North SMC Family Day 2025 (CCK),Social & Community Events,Chua Chu Kang CC,~33.0,$
721,English Toastmasters Club Membership (New member) Nov 2024 to Mar 2025,Social & Community Events,Chua Chu Kang CC,113.0,$$$
722,English Toastmasters Club Membership (New member) Sept 2024 - Mar 2025,Social & Community Events,Chua Chu Kang CC,148.0,$$$
723,English Toastmasters Club Membership (renewal) April 2025 - March 2026,Social & Community Events,Chua Chu Kang CC,210.0,$$$
724,Fun With Ukulele,Workshops & Classes,Chua Chu Kang CC,~52.5,$$
725,Guzheng (Adult) - Elementary,Workshops & Classes,Chua Chu Kang CC,~130.0,$$$
726,Guzheng (Adult) - Intermediate,Workshops & Classes,Chua Chu Kang CC,~190.0,$$$
727,Hari Raya Shopping At Geylang Serai,Social & Community Events,Chua Chu Kang CC,2.0,$
728,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Chua Chu Kang CC,~57.5,$$
729,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Chua Chu Kang CC,~62.5,$$
730,Mandarin Toastmaster (1 April 2025 to 31 March 2026),Social & Community Events,Chua Chu Kang CC,~157.5,$$$
731,Mandarin Toastmasters New Member Fees (Feb 2025 - Mar 2025),Social & Community Events,Chua Chu Kang CC,46.0,$
732,Mandarin toastmasters renewal Sept 2024 - Aug 2025,Social & Community Events,Chua Chu Kang CC,190.0,$$$
733,Recreational Folk Dance (Intermediate) (HealthierSG),Workshops & Classes,Chua Chu Kang CC,~35.5,$
734,Recreational Karaoke Dialect Singing (Hokkien),Workshops & Classes,Chua Chu Kang CC,~82.5,$$
735,Rhythmic Yoga (HealthierSG),Fitness & Wellness,Chua Chu Kang CC,~105.0,$$$
736,SkillsFuture@PA Basic Digital Photography,Workshops & Classes,Chua Chu Kang CC,~205.0,$$$
737,SkillsFuture@PA PC DIY in 9 Hours + Hands-On,Workshops & Classes,Chua Chu Kang CC,~142.5,$$$
738,SkillsFuture@PA PC Preparation in 9 Hours + Hands-On,Workshops & Classes,Chua Chu Kang CC,~142.5,$$$
739,Zumba® Fitness (HealthierSG),Fitness & Wellness,Chua Chu Kang CC,~97.5,$$
740,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Chua Chu Kang Zone 2 RN,45.0,$
741,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Chua Chu Kang Zone 3 RN,~60.0,$$
742,Line Dance (Adult) - Intermediate (HealthierSG),Workshops & Classes,Chua Chu Kang Zone 3 RN,~55.0,$$
743,Recreational Karaoke Folk Singing (Mandarin),Workshops & Classes,Chua Chu Kang Zone 3 RN,~75.0,$$
744,[CCKZ4] Outing to the Singapore Flyer,Social & Community Events,Chua Chu Kang Zone 4 RC,~22.5,$
745,[CCKZ4] Popmart Pen Making Working,Social & Community Events,Chua Chu Kang Zone 4 RC,3.0,$
746,[AMKHG AAC] Leisure Walk to Punggol Waterway Park and GIANT Hypermarket,Social & Community Events,Ci Yuan CC,2.0,$
747,"Ang Mo Kio GRC, Kebun Baru & Yio Chu Kang SMCs Table Tennis Tournament 2025 (Ang Mo Kio-Hougang)",Social & Community Events,Ci Yuan CC,40.0,$
748,Ang Mo Kio-Hougang CSN Netball Clinic 2025,Social & Community Events,Ci Yuan CC,2.0,$
749,Ci Yuan CC WEC - Dance Fit Club 2025,Social & Community Events,Ci Yuan CC,50.0,$
750,Han Tang Chinese Guzheng Concert 汉唐之声 - 茉莉花古筝音乐会 2025,Social & Community Events,Ci Yuan CC,5.0,$
751,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Ci Yuan CC,~77.0,$$
752,Line Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Ci Yuan CC,~50.0,$
753,Line Dance (Adult) - Intermediate (HealthierSG),Workshops & Classes,Ci Yuan CC,~60.0,$$
754,Lowrey Piano (Beginner),Workshops & Classes,Ci Yuan CC,~300.0,$$$
755,Lowrey Piano (Grade 1A),Workshops & Classes,Ci Yuan CC,~329.0,$$$
756,Pilates - Matwork for Beginners (HealthierSG),Fitness & Wellness,Ci Yuan CC,~95.0,$$
757,PILOXING® Barre (HealthierSG),Fitness & Wellness,Ci Yuan CC,~55.0,$$
758,Puthandu Dinner and Show 2025,Social & Community Events,Ci Yuan CC,10.0,$
759,Taijiquan (HealthierSG),Fitness & Wellness,Ci Yuan CC,~60.0,$$
760,Upcycle Workshop - Pair of Harmony Lanterns,Workshops & Classes,Ci Yuan CC,0.0,Free
761,Zumba® Fitness (HealthierSG),Fitness & Wellness,Ci Yuan CC,~55.0,$$
762,Taijiquan (HealthierSG),Fitness & Wellness,Clementi Avenue 2 RC,~45.0,$
763,AAC Workplan,Social & Community Events,Clementi CC,0.0,Free
764,Bowling IG (April 25),Social & Community Events,Clementi CC,6.0,$
765,Clementi MAEC - Buka Puasa @ Clementi (22/3/2025 Saturday - $0.00),Social & Community Events,Clementi CC,0.0,Free
766,Fun with Art,Workshops & Classes,Clementi CC,~135.0,$$$
767,Guzheng (Adult) - Elementary,Workshops & Classes,Clementi CC,~130.0,$$$
768,Hatha Yoga (Elementary) (HealthierSG),Fitness & Wellness,Clementi CC,~65.0,$$
769,Hatha Yoga (Intermediate) (HealthierSG),Fitness & Wellness,Clementi CC,~68.0,$$
770,SkillsFuture@PA Basic Make Up,Fitness & Wellness,Clementi CC,~165.0,$$$
771,SkillsFuture@PA Hairstyling (Elementary),Fitness & Wellness,Clementi CC,~165.0,$$$
772,SkillsFuture@PA Interior Design & Renovation-Elementary,Workshops & Classes,Clementi CC,~490.0,$$$
773,SkillsFuture@PA Unisex Hair Cutting Course Module 1,Fitness & Wellness,Clementi CC,~205.0,$$$
774,SkillsFuture@PA Unisex Hair Cutting Course Module 2,Fitness & Wellness,Clementi CC,~225.0,$$$
775,Walk a Jog @ Ave 2,Social & Community Events,Clementi CC,0.0,Free
776,Walk a Jog @ Zone 3,Social & Community Events,Clementi CC,0.0,Free
777,CLEMENTI HEIGHTS KARAOKE SESSION ON 27 MAR 25,Social & Community Events,Clementi Heights RC,3.0,$
778,Community Responder Plus Programme (RPP) - 12/04/2025,Social & Community Events,Clementi Heights RC,0.0,Free
779,HEIGHTS KARAOKE SESSIION ON 13 MAR 25,Social & Community Events,Clementi Heights RC,3.0,$
780,HEIGHTS KARAOKE SESSION ON 20 MAR 25,Social & Community Events,Clementi Heights RC,3.0,$
781,Clementi Woods Park,Outdoor & Nature,"Clementi Road next to Kent Vale, along West Coast Road next to Ginza Plaza",0.0,Free
782,Friday Karaoke Interest Group Singing,Social & Community Events,Clementi Zone 1 RC,20.0,$
783,Clementi Zone 3 - The Wings of Time: Fireworks Symphony @ Sentosa (28/3/2025),Social & Community Events,Clementi Zone 3 RC,0.0,Free
784,Clementi Zone 3 RC - Volcanic Shrimp Marimo Moss Aquarium Workshop (20/4/25),Workshops & Classes,Clementi Zone 3 RC,25.0,$
785,Qigong 18 Movements (HealthierSG),Fitness & Wellness,Clementi Zone 4 RC,30.0,$
786,Inline Skating (Beginners) (HealthierSG),Fitness & Wellness,Coastar RC,100.0,$$
787,Mixed Media Art,Workshops & Classes,Compassvale Ancilla RC,96.0,$$
788,Aspella Block Party 272A & 272B,Social & Community Events,Compassvale Aspella RC,0.0,Free
789,Fun with Keyboard (Beginner),Workshops & Classes,Compassvale Aspella RC,220.0,$$$
790,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Compassvale Aspella RC,80.0,$$
791,Block Party by Compassvale Coris RC,Social & Community Events,Compassvale Coris RC,0.0,Free
792,Compassvale Gardens RC - Family Fun Bowling 2025,Social & Community Events,Compassvale Gardens RC,40.0,$
793,Compassvale Gardens RC - Yakult Factory Tour & Northpoint City Shopping Trip,Social & Community Events,Compassvale Gardens RC,5.0,$
794,Compassvale Green RN - $0.00 Seniors Haircut (March'25),Social & Community Events,Compassvale Green RN,0.0,Free
795,Haven RC March Holiday Student Engagement Study Space,Social & Community Events,Compassvale Haven RC,0.0,Free
796,Compassvale Helm RN Confidence On Wheels Programme,Social & Community Events,Compassvale Helm RN,0.0,Free
797,Compassvale Helm RN Presents School Holiday Fun Slime Workshop,Workshops & Classes,Compassvale Helm RN,12.0,$
798,Fun with Keyboard,Workshops & Classes,Compassvale Helm RN,216.0,$$$
799,Compassvale Lodge RC - Hari Raya Workshop Plushie 3D Ketupat Sewing,Workshops & Classes,Compassvale Lodge RC,20.0,$
800,Crochet & Knitting (Stage I),Workshops & Classes,Compassvale Lodge RC,110.0,$$$
801,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Compassvale Lodge RC,80.0,$$
802,Compassvale Mast RN - Chocolate Banana Cupcake Baking Workshop@ Buangkok CC,Workshops & Classes,Compassvale Mast RN,10.0,$
803,Artistic Expression for Children (Compassvale Plains),Workshops & Classes,Compassvale Plains RN,160.0,$$$
804,Compassvale Plains RN: Hari Raya Festive Pack,Social & Community Events,Compassvale Plains RN,0.0,Free
805,Recreational Karaoke Classical Singing (Mandarin),Workshops & Classes,Compassvale Plains RN,80.0,$$
806,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Compassvale Southgate RC,45.0,$
807,Compassvale Villa RC - Balik Kampong @ National Museum - 24 March 2025,Social & Community Events,Compassvale Villa RC,0.0,Free
808,Compassvale Villa RC - Dutch Pour Art Workshop - 22 April 2025,Workshops & Classes,Compassvale Villa RC,10.0,$
809,Compassvale Villa RC - Dutch Pour Art Workshop - 8 April 2025,Workshops & Classes,Compassvale Villa RC,10.0,$
810,Compassvale Villa RC (Youth Chapter) - Soar with the Wind Family Day - 13 April 2025,Social & Community Events,Compassvale Villa RC,5.0,$
811,Crochet & Knitting (Stage I),Workshops & Classes,Compassvale Villa RC,70.0,$$
812,Wushu (HealthierSG),Fitness & Wellness,Compassvale Villa RC,90.0,$$
813,Indian Classical Dance (Adult) - Elementary (HealthierSG),Workshops & Classes,Compassvale Vista RN,120.0,$$$
814,Indian Classical Dance (Children) - Elementary,Workshops & Classes,Compassvale Vista RN,120.0,$$$
815,Karate (HealthierSG),Fitness & Wellness,Compassvale Vista RN,120.0,$$$
816,Chinese Calligraphy,Workshops & Classes,Coral Heights RN,85.0,$$
817,Recreational Karaoke Pop Singing (Mandarin),Workshops & Classes,Coral Ris RN,140.0,$$$
818,Costa Ris Fire Evacuation Exercise 2025,Social & Community Events,Costa Ris RN,0.0,Free
819,Fun with Keyboard,Workshops & Classes,Costa Ris RN,216.0,$$$
820,Breakfast With Love @ Kampong Glam (April 2025),Social & Community Events,Crawford RN,0.5,$
821,Food Distribution @ Crawford (13 March 2025),Social & Community Events,Crawford RN,0.0,Free
822,Food Distribution @ Crawford (14 March 2025),Social & Community Events,Crawford RN,0.0,Free
823,Food Distribution @ Crawford (15 March 2025),Social & Community Events,Crawford RN,0.0,Free
824,Zumba @Kg Glam (31 March 2025),Social & Community Events,Crawford RN,0.0,Free
825,Residents' Party @ Signature,Social & Community Events,Criterion-Signature RN,0.0,Free
826,Residents' Party @ The Criterion,Social & Community Events,Criterion-Signature RN,0.0,Free
827,Karate (HealthierSG),Fitness & Wellness,Delta RC,100.0,$$
828,East Canberra Zone 1 Raya Shopping Spree @ Kampong Gelam Ramadan Bazaar,Social & Community Events,East Canberra Zone 1 RN,2.0,$
829,Eastvale RN Community Breakfast 2025 - Townhall Session,Social & Community Events,Eastvale RN,2.0,$
830,ERNC Micro Engagement with Fairmount Condo Residents,Social & Community Events,Eastwood Ria NC,0.0,Free
831,Elias View RN Jalan Jalan Mandai Boardwalk - March 2025,Social & Community Events,Elias View RN,5.0,$
832,NIPPON AQUAPONICS FARM TOUR,Social & Community Events,Eng Kong And Cheng Soon RN,5.0,$
833,PASIR RIS PARK BEACH CLEANUP,Social & Community Events,Esparis RN,0.0,Free
834,Yoga @ Esparis,Social & Community Events,Esparis RN,72.0,$$
835,Zumba @ Esparis,Social & Community Events,Esparis RN,104.0,$$$
836,Indian National Army Monument,Cultural & Heritage,Esplanade Park,0.0,Free
837,The Cenotaph,Cultural & Heritage,"Esplanade Park, Connaught Drive",0.0,Free
838,(March 2025) Mass Buka Puasa @ Eunos,Social & Community Events,Eunos CC,0.0,Free
839,Taekwondo (Singapore Taekwondo Federation) (HealthierSG),Fitness & Wellness,Eunos CC,~37.0,$
840,(March 2025) Eunos Zone 1 RN Decoupage of Tissue Box Holder Workshop,Workshops & Classes,Eunos Zone 1 RN,5.0,$
841,(March 2025) Eunos Zone 1 RN Riang Ria Hari Raya,Social & Community Events,Eunos Zone 1 RN,6.0,$
842,(March 2025) Eunos Zone 3 RN Tamil Karaoke,Social & Community Events,Eunos Zone 3 RN,5.0,$
843,Advance Knitting Course - Stick and Crochet Knitting (Eunos),Workshops & Classes,Eunos Zone 7 RN,~115.0,$$$
844,Rhythmic Yoga Works,Fitness & Wellness,"Far East Shopping Centre, Postal Code: 188091",~105.0,$$$
845,[Fengshan Acacia RN] Outing to Yakult Factory (18 Mar 2025),Social & Community Events,Fengshan Acacia RN,~5.0,$
846,Taekwondo (Singapore Taekwondo Academy) (HealthierSG),Fitness & Wellness,Fengshan Acacia RN,~95.0,$$
847,[Fengshan Aspen RN - 2025] Movie Night | Trolls Band Together - 19 April 2025,Social & Community Events,Fengshan Aspen RN,0.0,Free
848,[Fengshan Aspen RN] BBQ Pit Booking - 2025,Social & Community Events,Fengshan Aspen RN,10.0,$
849,Soccer (HealthierSG),Fitness & Wellness,Fengshan Aspen RN,~52.5,$$
850,"(Every Sat), Fengshan CC WEC Dance Fit Club 2025",Social & Community Events,Fengshan CC,80.0,$$
851,[Fengshan CC WEC] Crochet Coaster Workshop (29 Mar 2025),Workshops & Classes,Fengshan CC,20.0,$
852,[Fengshan CC] Music Room Booking #03-10,Social & Community Events,Fengshan CC,~55.0,$$
853,[Fengshan CSN x WEC] 2K Brisk Walk and Intertidal Learning Journey,Social & Community Events,Fengshan CC,15.0,$
854,Badminton (HealthierSG) (Fengshan),Fitness & Wellness,Fengshan CC,~65.0,$$
855,Ballroom Latin (Adult) - Elementary (HealthierSG),Workshops & Classes,Fengshan CC,~105.0,$$$
856,Children's Art (Fengshan),Workshops & Classes,Fengshan CC,~90.0,$$
857,Fascia Stretch Yin Movement Therapeutic Yoga (HealthierSG),Fitness & Wellness,Fengshan CC,~142.0,$$$
858,Fengshan MAEC - Ramadan Porridge and Chicken Briyani Distribution 2025,Social & Community Events,Fengshan CC,0.0,Free
859,Fengshan MAEC Hari Raya Celebration on 19 April 2025,Social & Community Events,Fengshan CC,0.0,Free
860,Fengshan Youth Network - Paddles On Wheels 12 April 2025,Social & Community Events,Fengshan CC,0.0,Free
861,Fengshan Youth Network_Running Club IG,Social & Community Events,Fengshan CC,0.0,Free
862,Indian Cooking Demonstration,Social & Community Events,Fengshan CC,3.0,$
863,Line Dance (Adult) - Intermediate (HealthierSG),Workshops & Classes,Fengshan CC,5.0,$
864,Table Flower Arrangement Workshop,Workshops & Classes,Fengshan CC,28.0,$
865,Thoughtful Thursdays at Fengshan CC with Weaving Happiness,Social & Community Events,Fengshan CC,0.0,Free
866,Variety Baking Workshop for Adults,Food & Beverage,Fengshan CC,~115.0,$$$
867,Yin Yang Yoga (HealthierSG),Fitness & Wellness,Fengshan CC,~122.0,$$$
868,Fengshan Cedar RN - Coffee Time March 2025,Social & Community Events,Fengshan Cedar RN,0.0,Free
869,Fengshan Cedar RN - Kickboxing March 2025 (HPB),Social & Community Events,Fengshan Cedar RN,0.0,Free
